27041,103854,167990,104537,110082,iMentor NYC,BOSS,2019,Class 1,College Ready,10/15/2015,,,Match Open,,
26065,103987,166988,98753,172684,iMentor NYC,AFSE,2018,Class 4,College Ready,9/25/2015,10/19/2016,390,Match Closed,Mentor can no longer participate,Unable to meet program requirements
26157,104097,166013,94569,169124,iMentor NYC,Bridges,2018,Class 5,College Ready,9/29/2015,,,Match Open,,
27113,104140,155898,97582,171696,iMentor NYC,BLA II,2017,Class 1,College Ready,10/16/2015,12/17/2015,62,Match Closed,Mentee can no longer participate,Moved / Transferred to another school
26077,104153,156415,96439,170594,iMentor NYC,AFSE,2017,Class 4,College Ready,9/25/2015,,,Match Open,,
26066,104155,167000,98993,172918,iMentor NYC,AFSE,2018,Class 4,College Ready,9/25/2015,,,Match Open,,
26076,104156,156416,96759,170910,iMentor NYC,AFSE,2017,Class 2,College Ready,9/25/2015,,,Match Open,,
26120,104187,146639,100650,174482,iMentor NYC,AFSE,2016,Class 1,College Ready,9/29/2015,,,Match Open,,
29037,104215,177878,106093,160957,iMentor NYC,Bridges,2018,Class 5,College Ready,1/6/2016,2/12/2016,36,Match Closed,Mentor can no longer participate,Did not give a reason
26344,104231,165828,88646,163893,iMentor NYC,TYWLS,2018,Class 3,College Ready,10/2/2015,6/1/2016,242,Match Closed,Mentor can no longer participate,Mentor moved
26844,104292,167612,101115,174938,iMentor NYC,MHSIS,2018,Class 1,College Ready,10/14/2015,,,Match Open,,
26089,104298,157591,97988,172053,iMentor NYC,AFSE,2017,Class 3,College Ready,9/28/2015,,,Match Open,,
27535,104302,177951,102779,176502,iMentor NYC,IAM,2017,Class 2,College Ready,10/29/2015,,,Match Open,,
27549,104303,177953,97137,171271,iMentor NYC,IAM,2017,Class 2,College Ready,10/29/2015,,,Match Open,,
29422,104306,177955,111130,169473,iMentor NYC,IAM,2017,Class 1,College Ready,3/10/2016,,,Match Open,,
28670,104312,167388,102281,176033,iMentor NYC,MHSIS,2019,Class 4,College Ready,12/3/2015,2/4/2016,62,Match Closed,Mentor can no longer participate,Personal/Family conflict
27652,104316,167016,99811,173704,iMentor NYC,Lyons,2018,Class 2,College Ready,10/30/2015,,,Match Open,,
27550,104364,178007,98271,172291,iMentor NYC,IAM,2017,Class 4,College Ready,10/29/2015,6/30/2016,244,Match Closed,Mentor can no longer participate,Unable to meet program requirements
27551,104366,178009,99074,172997,iMentor NYC,IAM,2017,Class 1,College Ready,10/29/2015,,,Match Open,,
29033,104372,178015,95996,170238,iMentor NYC,TYWLS,2017,Class 1,College Ready,1/6/2016,,,Match Open,,
26878,104416,156697,96834,170978,iMentor NYC,MHSIS,2017,Class 3,College Ready,10/14/2015,,,Match Open,,
26921,104417,157438,96001,170243,iMentor NYC,MHSIS,2017,Class 4,College Ready,10/14/2015,,,Match Open,,
29020,104426,178059,99536,173441,iMentor NYC,Bridges,2018,Class 5,College Ready,1/5/2016,,,Match Open,,
29036,104427,178060,106972,180380,iMentor NYC,Bridges,2018,Class 2,College Ready,1/6/2016,,,Match Open,,
26450,104428,178061,104741,162471,iMentor NYC,IAM,2018,Class 2,College Ready,10/5/2015,,,Match Open,,
26428,104430,178063,101026,174852,iMentor NYC,IAM,2018,Class 1,College Ready,10/5/2015,,,Match Open,,
26451,104434,178067,89957,165081,iMentor NYC,IAM,2018,Class 3,College Ready,10/5/2015,,,Match Open,,
31225,104435,178068,112102,184592,iMentor NYC,IAM,2017,Class 2,College Ready,10/25/2016,,,Match Open,,
26349,104451,165809,93261,168094,iMentor NYC,TYWLS,2018,Class 1,College Ready,10/2/2015,,,Match Open,,
26347,104488,178116,92336,167266,iMentor NYC,TYWLS,2018,Class 1,College Ready,10/2/2015,,,Match Open,,
29108,104498,178125,107684,180980,iMentor NYC,MHSIS,2018,Class 3,College Ready,1/13/2016,6/30/2016,168,Match Closed,Mentee can no longer participate,Moved / Transferred to another school
26822,104528,167885,104540,168906,iMentor NYC,BOSS,2018,Class 1,College Ready,10/14/2015,6/7/2016,237,Match Closed,Mentor can no longer participate,Mentor moved
26974,104533,167949,101216,175034,iMentor NYC,BOSS,2018,Class 4,College Ready,10/14/2015,,,Match Open,,
26227,104612,178222,96751,170902,iMentor NYC,AFSE,2017,Class 4,College Ready,9/30/2015,,,Match Open,,
29094,104615,178225,108639,181769,iMentor NYC,AFSE,2017,Class 4,College Ready,1/12/2016,,,Match Open,,
29078,104616,178226,108322,181510,iMentor NYC,FDA II,2017,Class 3,College Ready,1/8/2016,,,Match Open,,
26229,104678,157590,96574,170727,iMentor NYC,AFSE,2017,Class 3,College Ready,9/30/2015,,,Match Open,,
26416,104706,166937,97393,171528,iMentor NYC,IAM,2018,Class 1,College Ready,10/5/2015,,,Match Open,,
26360,104716,178320,99520,173425,iMentor NYC,TYWLS,2018,Class 1,College Ready,10/2/2015,,,Match Open,,
26423,104744,166826,98701,172635,iMentor NYC,IAM,2018,Class 3,College Ready,10/5/2015,,,Match Open,,
26293,104749,158999,88423,163677,iMentor NYC,TYWLS,2017,Class 1,College Ready,10/2/2015,6/14/2016,255,Match Closed,Mentee can no longer participate,Academic/Behavioral problems
26337,104752,156374,94947,169429,iMentor NYC,TYWLS,2017,Class 2,College Ready,10/2/2015,,,Match Open,,
26449,104768,178364,104687,161283,iMentor NYC,IAM,2018,Class 3,College Ready,10/5/2015,12/8/2015,64,Match Closed,Mentor can no longer participate,Schedule Conflict
27839,104771,167584,105316,178879,iMentor NYC,BOSS,2018,Class 1,College Ready,11/4/2015,,,Match Open,,
27061,104790,178384,96437,170592,iMentor NYC,BOSS,2018,Class 1,College Ready,10/15/2015,,,Match Open,,
26966,104796,178390,99796,173689,iMentor NYC,BOSS,2018,Class 2,College Ready,10/14/2015,10/3/2016,354,Match Closed,Mentor can no longer participate,Mentor moved
27902,104822,178415,108064,170062,iMentor NYC,AFSE,2018,Class 1,College Ready,11/4/2015,,,Match Open,,
29181,104844,178435,107205,180592,iMentor NYC,HSLCS,2017,Class 3,College Ready,1/19/2016,,,Match Open,,
29148,104894,178484,108299,181493,iMentor NYC,MHSIS,2018,Class 2,College Ready,1/14/2016,,,Match Open,,
26998,104902,156622,77943,154595,iMentor NYC,MHSIS,2017,Class 3,College Ready,10/15/2015,12/17/2015,63,Match Closed,Mentee can no longer participate,Dropped out of school
26930,104905,165755,88905,164148,iMentor NYC,MHSIS,2017,Class 1,College Ready,10/14/2015,,,Match Open,,
29144,104906,157600,108300,181494,iMentor NYC,MHSIS,2017,Class 2,College Ready,1/14/2016,,,Match Open,,
27828,104918,178504,101327,175144,iMentor NYC,LAB,2017,Class 1,College Transition,11/4/2015,,,Match Open,,
